x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89613.06897326141,43157.98846410722,6.5,0.0,0.0,0.7453153317537533,0.6667121239731528,8.039533566292421
89613.02073007978,43158.82291618245,6.5,0.0,0.0,0.7089220303004637,0.7052868600467956,8.022041811236175
89613.06057920004,43159.62124564863,6.5,0.0,0.0,0.6644618054038017,0.7473222257898666,8.001565001422598
89613.20640420321,43160.3992344223,6.5,0.0,0.0,0.6206500052331325,0.7840877317010595,7.989832755950649
89613.42350585556,43161.15979957362,6.5,0.0,0.0,0.577923510544536,0.8160909360848702,7.960127477582754
89613.7290473186,43161.88412519899,6.5,0.0,0.0,0.5219543443993951,0.8529734241830736,7.94578302817353
89614.1574107228,43162.59563568032,6.5,0.0,0.0,0.46351034464488555,0.8860915079195711,7.927332506542946
89614.63360853956,43163.18696244727,6.5,0.0,0.0,0.40759924207353276,0.913160915644708,7.9188046405058845
89615.1891207815,43163.74582741071,6.5,0.0,0.0,0.35742815211530166,0.9339406384109435,7.8953400337189645
89615.86021541238,43164.286941498875,6.5,0.0,0.0,0.30848759198585307,0.9512283666873953,7.8734700999400005
89616.4570455198,43164.66487390197,6.5,0.0,0.0,0.25058486553810627,0.9680946364706547,7.857093226747986
89617.16550915706,43165.01119996072,6.5,0.0,0.0,0.1948072414508939,0.9808415461624233,7.83911338819859
89617.90757228315,43165.26472104018,6.5,0.0,0.0,0.13045563401775243,0.9914541479831663,7.818741584978216
89618.68115930418,43165.417085986235,6.5,0.0,0.0,0.06811372500133336,0.9976775633772881,7.807901822086063
89619.4126428996,43165.47119264019,6.5,0.0,0.0,0.002924181438885191,0.9999957245723166,7.793073672403908
89620.19189141034,43165.42592140913,6.5,0.0,0.0,-0.06225992411297766,0.9980599690647082,7.778607333840475
89621.03261017261,43165.268292900764,6.5,0.0,0.0,-0.11856934143416317,0.9929457745878517,7.75859385905445
89621.69205487582,43165.06246468909,6.5,0.0,0.0,-0.17983807029493704,0.9836962277413659,7.750217165764555
89622.40089287992,43164.75069815298,6.5,0.0,0.0,-0.23025285158712855,0.9731308361859652,7.755367312910943
89623.0781814757,43164.36762032849,6.5,0.0,0.0,-0.2780435796021846,0.9605684607783058,7.768284603548062
89623.81661796023,43163.856165228186,6.5,0.0,0.0,-0.312629670114245,0.9498750914537439,7.797930119150703
89624.33857797872,43163.43716799705,6.5,0.0,0.0,-0.34754317786786637,0.937663980068289,7.825182801486142
89624.93284803902,43162.89692881153,6.5,0.0,0.0,-0.3726336524713097,0.9279785347980261,7.846657937978453
89625.48844923163,43162.336164691114,6.5,0.0,0.0,-0.3985691815432018,0.9171382706680505,7.875308027635642
89626.01500202926,43161.7373730676,6.5,0.0,0.0,-0.4230454504881252,0.9061084630557752,7.907141426362964
89626.53109294853,43161.09120846358,6.5,0.0,0.0,-0.4464630657785963,0.894802062411334,7.940789180068986
89626.96872893353,43160.4701723962,6.5,0.0,0.0,-0.47400337511144264,0.8805230266057561,7.9776294092049085
89627.39165152705,43159.78664994027,6.5,0.0,0.0,-0.49871120388935575,0.8667682130276984,8.017412870267727
89627.77616059444,43159.08121916961,6.5,0.0,0.0,-0.5210535363388639,0.8535239963051796,8.045163047711034
89628.12744810985,43158.3545822709,6.5,0.0,0.0,-0.5392960962552674,0.8421162155924973,8.061008458023114
89628.45198520798,43157.61379638345,6.5,0.0,0.0,-0.5539365079061698,0.8325589139566748,8.08869134809157
89628.75497167416,43156.85627626581,6.5,0.0,0.0,-0.565499373434623,0.8247487245489069,8.150458946320322
89629.04289404971,43156.084490789755,6.5,0.0,0.0,-0.5723676351871914,0.8199971281597407,8.228159157429875
89629.32529355581,43155.30359598476,6.5,0.0,0.0,-0.5741561019169006,0.8187458522835945,8.284828763978359
89629.61031774782,43154.51861336955,6.5,0.0,0.0,-0.5725991431898064,0.8198354842395513,8.344804520419698
89629.89771438396,43153.74247807498,6.5,0.0,0.0,-0.570644390095256,0.8211972844894296,8.23944670530025
89630.18262052225,43152.9805308245,6.5,0.0,0.0,-0.5699818900330559,0.8216572552070269,8.101674911916975
89630.46240031894,43152.23232360011,6.5,0.0,0.0,-0.571630754981414,0.8205109871046082,7.943062829859243
89630.73263128768,43151.491418991754,6.5,0.0,0.0,-0.5762079045057868,0.8173031572097651,7.817379405242409
89630.98818620417,43150.75830749813,6.5,0.0,0.0,-0.5837734586150891,0.8119165899380162,7.763721887925622
89631.29212192545,43149.825774930876,6.5,0.0,0.0,-0.590656590322067,0.8069230398923494,7.813048658246378
89631.51106813361,43149.10925270558,6.5,0.0,0.0,-0.5968667938924367,0.8023403457065857,7.877815132980968
89631.73518176764,43148.34976087682,6.5,0.0,0.0,-0.5980864739114775,0.8014315751978678,7.930005496614127
89632.00989063198,43147.428924024425,6.5,0.0,0.0,-0.5933610214328868,0.8049364560287484,8.031909492915357
89632.3200034341,43146.46146847885,6.5,0.0,0.0,-0.5833768890448017,0.8122015792452076,8.089909801724058
89632.58134508706,43145.73315177113,6.5,0.0,0.0,-0.5679549070870481,0.8230596719046211,8.09850071822442
89632.88056310266,43144.98458317105,6.5,0.0,0.0,-0.5526992768365732,0.8333807709470678,8.008043192154732
89633.19984563005,43144.26861472761,6.5,0.0,0.0,-0.536357673826036,0.8439907853335388,7.8561762432976545
89633.54012445184,43143.578355679456,6.5,0.0,0.0,-0.5198192869014608,0.8542762486252656,7.7105460672594734
89633.90917323336,43142.897826365945,6.5,0.0,0.0,-0.5035757076763988,0.863951101994907,7.75364051244325
89634.30312963665,43142.231191769846,6.5,0.0,0.0,-0.48660393376326855,0.8736226940997541,7.803181943412591
89634.73191432028,43141.56905758917,6.5,0.0,0.0,-0.468402454813337,0.8835152179361937,7.851601580383187
89635.23311272677,43140.85960934192,6.5,0.0,0.0,-0.4466334353756532,0.8947170359418346,7.893483273313514
