s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
141.6041094,89638.1084956,43158.5526278,-4.0960007,0.0074411,8.9290661,0.0000000
142.6068947,89637.5255982,43159.3685990,-4.0882243,0.0075450,8.9519835,0.0000000
143.6089718,89636.9368277,43160.1794676,-4.0808736,0.0067062,8.9650191,0.0000000
144.6092713,89636.3434696,43160.9847782,-4.0747937,0.0051467,8.9826068,0.0000000
145.6199368,89635.7397008,43161.7952768,-4.0705432,0.0031853,8.9961495,0.0000000
146.6390967,89635.1281295,43162.6105482,-4.0683455,0.0011513,9.0141618,0.0000000
147.6553403,89634.5172572,43163.4226972,-4.0681942,-0.0009383,9.0288952,0.0000000
148.6648232,89633.9127871,43164.2311968,-4.0702316,-0.0030836,9.0547227,0.0000000
149.6670474,89633.3155836,43165.0360579,-4.0743843,-0.0044204,9.0733192,0.0000000
150.6580313,89632.7312458,43165.8364318,-4.0790414,-0.0039409,9.0989029,0.0000000
151.6304267,89632.1652977,43166.6271628,-4.0821536,-0.0012212,9.1425024,0.0000000
152.5862221,89631.6168233,43167.4099276,-4.0814549,0.0040084,9.1985304,0.0000000
153.5412209,89631.0753520,43168.1965861,-4.0745165,0.0118923,9.2417735,0.0000000
154.4739864,89630.5490093,43168.9666607,-4.0590043,0.0216622,9.2801397,0.0000000
155.4128677,89630.0147185,43169.7386914,-4.0336766,0.0312088,9.3057454,0.0000000
156.3541138,89629.4644333,43170.5023211,-4.0000181,0.0371993,9.3308134,0.0000000
157.3131072,89628.8779714,43171.2610904,-3.9625246,0.0370227,9.3488059,0.0000000
158.2552751,89628.2730260,43171.9833933,-3.9288668,0.0328963,9.3579393,0.0000000
159.2139435,89627.6328725,43172.6970098,-3.8997976,0.0272421,9.3702719,0.0000000
160.3600694,89626.8273482,43173.5123228,-3.8769336,0.0182903,9.3808441,0.0000000
161.2683983,89626.1836719,43174.1532145,-3.8647979,0.0044369,9.4015915,0.0000000
162.3487682,89625.3806755,43174.8759841,-3.8683970,-0.0125280,9.4439984,0.0000000
163.5257208,89624.3127056,43174.3813553,-3.8879712,-0.0300527,9.4828244,0.0000000
164.5511626,89623.5135034,43175.0238557,-3.9240363,-0.0492477,9.5219284,0.0000000
165.4656062,89622.8605690,43175.6640774,-3.9794150,-0.0669718,9.5576216,0.0000000
166.7807163,89621.9662536,43176.6282944,-4.0483202,-0.0825750,9.5739385,0.0000000
167.7310911,89621.4253864,43177.4097513,-4.1293384,-0.1050893,9.5794785,0.0000000
168.6540791,89620.9961257,43178.2268449,-4.2330573,-0.1362731,9.5764235,0.0000000
169.5749996,89620.6932700,43179.0965420,-4.3636904,-0.1631768,9.5685158,0.0000000
170.5174301,89620.5388771,43180.0262399,-4.5062223,-0.1746482,9.5472402,0.0000000
171.3511632,89620.5315868,43180.8599411,-4.6472161,-0.1761112,9.5223121,0.0000000
172.2103008,89620.6427996,43181.7118503,-4.7896263,-0.1767062,9.4736468,0.0000000
173.0717830,89620.8701029,43182.5428044,-4.9341092,-0.1725677,9.4082530,0.0000000
173.8692862,89621.1642401,43183.2840834,-5.0703837,-0.1564503,9.2983743,0.0000000
174.7173702,89621.5640016,43184.0320387,-5.1917520,-0.1390688,9.1849851,0.0000000
175.5629020,89622.0245223,43184.7411543,-5.3054586,-0.1331412,9.0719464,0.0000000
176.4244097,89622.5630844,43185.4135726,-5.4207871,-0.1314827,8.9804089,0.0000000
177.3060342,89623.1829988,43186.0404441,-5.5358405,-0.1290467,8.9306507,0.0000000
