s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
133.8721156, 89644.4639870, 43149.6175498, 0.6476549, 0.0202114, 9.5342631, 0.9900000
134.8711613, 89643.8582392, 43150.4059281, 0.6600179, 0.0044773, 9.6374417, 0.9900000
135.8702069, 89643.2492117, 43151.1913028, 0.6570865, -0.0068771, 9.7395273, 0.9900000
136.8692525, 89642.6378817, 43151.9895896, 0.6498995, -0.0074158, 9.8405540, 0.9900000
137.8682982, 89642.0383308, 43152.7846424, 0.6422579, -0.0079278, 9.9405540, 0.9900000
138.8673438, 89641.4463275, 43153.5826934, 0.6341556, -0.0082845, 10.0395580, 0.9900000
139.8663894, 89640.8552906, 43154.3933156, 0.6258462, -0.0082764, 10.1375951, 0.9900000
140.8654351, 89640.2744619, 43155.2039456, 0.6176085, -0.0082395, 10.2346932, 0.9900000
141.8644807, 89639.7012212, 43156.0180182, 0.6094210, -0.0082774, 10.3308787, 0.9900000
142.8635264, 89639.1317996, 43156.8410676, 0.6009945, -0.0085553, 10.4261769, 0.9900000
143.8625720, 89638.5710915, 43157.6665112, 0.5923358, -0.0087918, 10.5206119, 0.9900000
144.8616176, 89638.0180972, 43158.4961551, 0.5834584, -0.0090583, 10.6142068, 0.9900000
145.8606633, 89637.4719203, 43159.3318543, 0.5742209, -0.0094407, 10.7069835, 0.9900000
146.8597089, 89636.9332566, 43160.1732697, 0.5646151, -0.0097814, 10.7989632, 0.9900000
147.8587546, 89636.4034657, 43161.0188944, 0.5546991, -0.0100983, 10.8901661, 0.9900000
148.8578002, 89635.8832068, 43161.8681842, 0.5444904, -0.0103902, 10.9806114, 0.9900000
149.8568458, 89635.3694480, 43162.7267184, 0.5339772, -0.0106135, 11.0703179, 0.9900000
150.8558915, 89634.8656035, 43163.5893381, 0.5232084, -0.0111814, 11.1593032, 0.9900000
151.8549371, 89634.3734843, 43164.4539285, 0.5115261, -0.0122956, 11.2475846, 0.9900000
152.8539828, 89633.8886678, 43165.3305410, 0.4986694, -0.0133638, 11.3351784, 0.4716789
153.8530284, 89633.4172219, 43166.2102625, 0.4858195, -0.0091233, 11.3766747, -1.6000000
154.8520740, 89632.9572957, 43167.0864846, 0.4829451, 0.0031912, 11.2352918, -1.6000000
155.8511197, 89632.4887421, 43167.9723537, 0.4920080, 0.0147018, 11.0921069, -1.6000000
156.8501653, 89632.0027641, 43168.8592139, 0.5127696, 0.0291584, 10.9470493, -1.6000000
157.8492109, 89631.4935666, 43169.7250625, 0.5547320, 0.0547132, 10.8000436, -1.6000000
158.8482566, 89630.9385720, 43170.5597059, 0.6237501, 0.0838316, 10.6510092, -1.6000000
159.8473022, 89630.3214252, 43171.3372950, 0.7236054, 0.1150194, 10.4998595, -1.6000000
160.8463479, 89629.6015361, 43172.0627705, 0.8386466, 0.1102671, 10.3465020, -1.6000000
161.8453935, 89628.8235202, 43172.6888008, 0.9474225, 0.1079854, 10.1908370, -1.6000000
162.8444391, 89628.0047505, 43173.2144822, 1.0528479, 0.1079047, 10.0327570, -1.6000000
163.8434848, 89627.1134173, 43173.6663111, 1.1445785, 0.0730516, 9.8721460, -1.6000000
164.8425304, 89626.1983243, 43174.0500453, 1.1956089, 0.0292659, 9.7088784, -1.6000000
165.8415761, 89625.2652842, 43174.4096562, 1.2030521, -0.0142686, 9.5428179, -1.6000000
166.8406217, 89624.3462659, 43174.7787695, 1.1677387, -0.0565588, 9.3738161, -1.6000000
167.8396673, 89623.4378489, 43175.2046933, 1.0899934, -0.0984138, 9.2017108, -1.6000000
168.8387130, 89622.5646295, 43175.7256133, 0.9702268, -0.1257238, 9.0263246, -1.6000000
169.8377586, 89621.7476612, 43176.3641644, 0.8459936, -0.1171793, 8.8474623, -1.6000000
170.8368043, 89621.0424974, 43177.0680489, 0.7242528, -0.1317550, 8.6649088, -1.6000000
171.8358499, 89620.4497359, 43177.8429162, 0.5729931, -0.1837857, 8.4784254, -1.6000000
172.8348955, 89619.9955151, 43178.7288814, 0.3697478, -0.2111033, 8.2877471, 0.9900000
173.8339412, 89619.7328813, 43179.6684684, 0.1842207, -0.1582544, 8.4062395, 0.9900000
